Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 00:00:00,05/01/22 01:00:00,54099907
AmazonEC2,CreateVolume-Gp2,EUC1-EBS:VolumeUsage.gp2,,05/01/22 07:00:00,05/01/22 08:00:00,32212254720
AmazonEC2,RunInstances,CAN1-DataTransfer-In-Bytes,,05/01/22 10:00:00,05/01/22 11:00:00,32668813
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 02:00:00,05/01/22 03:00:00,19062567
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 17:00:00,05/01/22 18:00:00,3187
AmazonEC2,RunInstances,C3DataTransfer-In-Bytes,,05/01/22 07:00:00,05/01/22 08:00:00,2943
AmazonEC2,CreateVolume-Gp2,EUW3-EBS:VolumeUsage.gp2,,05/01/22 14:00:00,05/01/22 15:00:00,483183820800
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 11:00:00,05/01/22 12:00:00,51251
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 01:00:00,05/01/22 02:00:00,195489
AmazonEC2,EBS:Gp2-IO-Read,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 12:00:00,05/01/22 13:00:00,105
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 08:00:00,05/01/22 09:00:00,82174
AmazonEC2,RunInstances,CAN1-DataTransfer-In-Bytes,,05/01/22 03:00:00,05/01/22 04:00:00,8817939
AmazonEC2,RunInstances,EUC1-DataTransfer-Out-Bytes,,05/01/22 17:00:00,05/01/22 18:00:00,217146
AmazonEC2,EBS:Gp2-IO-Read,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 16:00:00,05/01/22 17:00:00,38821
AmazonEC2,RunInstances,EUC1-DataTransfer-In-Bytes,,05/01/22 05:00:00,05/01/22 06:00:00,294812
AmazonEC2,RunInstances:0002,CAN1-BoxUsage:t2.micro,,05/01/22 17:00:00,05/01/22 18:00:00,15
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 09:00:00,05/01/22 10:00:00,8589934592
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 09:00:00,05/01/22 10:00:00,28511007
AmazonEC2,RunInstances:0002,EUC1-BoxUsage:t2.micro,,05/01/22 08:00:00,05/01/22 09:00:00,1
AmazonEC2,PublicIP-Out,EUC1-APS3-AWS-Out-Bytes,,05/01/22 14:00:00,05/01/22 15:00:00,5715
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 18:00:00,05/01/22 19:00:00,3475
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 02:00:00,05/01/22 03:00:00,8589934592
AmazonEC2,EBS:Gp2-IO-Read,EBS:VolumeIOUsage.gp2,,05/01/22 04:00:00,05/01/22 05:00:00,5
AmazonEC2,RunInstances,EUC1-C3DataTransfer-Out-Bytes,,05/01/22 19:00:00,05/01/22 20:00:00,922
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 21:00:00,05/01/22 22:00:00,15
AmazonEC2,PublicIP-In,CAN1-APS2-AWS-In-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,1909
AmazonEC2,EBS:Gp2-IO-Write,EBS:VolumeIOUsage.gp2,,05/01/22 08:00:00,05/01/22 09:00:00,1579
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 11:00:00,05/01/22 12:00:00,2975
AmazonEC2,EBS:Gp2-IO-Read,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 05:00:00,05/01/22 06:00:00,14183
AmazonEC2,EBS:Gp2-IO-Write,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 21:00:00,05/01/22 22:00:00,56797
AmazonEC2,PublicIP-In,EUC1-APS3-AWS-In-Bytes,,05/01/22 14:00:00,05/01/22 15:00:00,4764
AmazonEC2,EBS:Gp2-IO-Read,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 19:00:00,05/01/22 20:00:00,917
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 15:00:00,05/01/22 16:00:00,21828
AmazonEC2,RunInstances,EUW3-C3DataTransfer-Out-Bytes,,05/01/22 14:00:00,05/01/22 15:00:00,24341
AmazonEC2,EBS:Gp2-IO-Read,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 03:00:00,05/01/22 04:00:00,8
AmazonEC2,RunInstances,BoxUsage:t2.micro,,05/01/22 06:00:00,05/01/22 07:00:00,1
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 12:00:00,05/01/22 13:00:00,4343077
AmazonEC2,EBS:Gp2-IO-Write,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 06:00:00,05/01/22 07:00:00,74399
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 16:00:00,05/01/22 17:00:00,34805678
AmazonEC2,PublicIP-Out,EUC1-USE1-AWS-Out-Bytes,,05/01/22 14:00:00,05/01/22 15:00:00,1905
AmazonEC2,EBS:Gp2-IO-Read,EBS:VolumeIOUsage.gp2,,05/01/22 15:00:00,05/01/22 16:00:00,0
AmazonEC2,EBS:Gp2-IO-Read,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 06:00:00,05/01/22 07:00:00,467643
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 09:00:00,05/01/22 10:00:00,26567
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 07:00:00,05/01/22 08:00:00,41476
AmazonEC2,CreateVolume-Gp2,CAN1-EBS:VolumeUsage.gp2,,05/01/22 12:00:00,05/01/22 13:00:00,483183820800
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 02:00:00,05/01/22 03:00:00,35771
AmazonEC2,CreateVolume-Gp2,EUW3-EBS:VolumeUsage.gp2,,05/01/22 08:00:00,05/01/22 09:00:00,483183820800
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 22:00:00,05/01/22 23:00:00,3268
AmazonEC2,CreateVolume-Gp2,EUC1-EBS:VolumeUsage.gp2,,05/01/22 00:00:00,05/01/22 01:00:00,32212254720
AmazonEC2,RunInstances,DataTransfer-In-Bytes,,05/01/22 10:00:00,05/01/22 11:00:00,52759
AmazonEC2,CreateVolume-Gp2,CAN1-EBS:VolumeUsage.gp2,,05/01/22 21:00:00,05/01/22 22:00:00,483183820800
AmazonEC2,RunInstances,CAN1-DataTransfer-In-Bytes,,05/01/22 17:00:00,05/01/22 18:00:00,3644744
AmazonEC2,RunInstances,DataTransfer-In-Bytes,,05/01/22 03:00:00,05/01/22 04:00:00,66525
AmazonEC2,RunInstances,BoxUsage:t2.micro,,05/01/22 15:00:00,05/01/22 16:00:00,1
AmazonEC2,RunInstances,C3DataTransfer-In-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,3287
AmazonEC2,EBS:Gp2-IO-Write,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 17:00:00,05/01/22 18:00:00,62508
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 07:00:00,05/01/22 08:00:00,19814240
AmazonEC2,EBS:Gp2-IO-Write,EBS:VolumeIOUsage.gp2,,05/01/22 20:00:00,05/01/22 21:00:00,2545
AmazonEC2,RunInstances,EUC1-DataTransfer-Out-Bytes,,05/01/22 03:00:00,05/01/22 04:00:00,369790
AmazonEC2,RunInstances,CAN1-C3DataTransfer-Out-Bytes,,05/01/22 21:00:00,05/01/22 22:00:00,15978
AmazonEC2,PublicIP-Out,CAN1-USE1-AWS-Out-Bytes,,05/01/22 15:00:00,05/01/22 16:00:00,3084
AmazonEC2,CreateVolume-Gp2,EUC1-EBS:VolumeUsage.gp2,,05/01/22 11:00:00,05/01/22 12:00:00,32212254720
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 20:00:00,05/01/22 21:00:00,36790088
AmazonEC2,RunInstances,EUC1-C3DataTransfer-Out-Bytes,,05/01/22 10:00:00,05/01/22 11:00:00,2583
AmazonEC2,EBS:Gp2-IO-Write,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 20:00:00,05/01/22 21:00:00,46971
AmazonEC2,RunInstances,EUC1-DataTransfer-In-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,220544
AmazonEC2,PublicIP-Out,EUC1-APS3-AWS-Out-Bytes,,05/01/22 21:00:00,05/01/22 22:00:00,7620
AmazonEC2,EBS:Gp2-IO-Read,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 15:00:00,05/01/22 16:00:00,129890
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 05:00:00,05/01/22 06:00:00,67515
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 07:00:00,05/01/22 08:00:00,42969
AmazonEC2,EBS:Gp2-IO-Read,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 20:00:00,05/01/22 21:00:00,3910
AmazonEC2,EBS:Gp2-IO-Write,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 08:00:00,05/01/22 09:00:00,160155
AmazonEC2,RunInstances:0002,EUC1-BoxUsage:t2.micro,,05/01/22 14:00:00,05/01/22 15:00:00,1
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 00:00:00,05/01/22 01:00:00,56347
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 16:00:00,05/01/22 17:00:00,8589934592
AmazonEC2,RunInstances:0002,EUC1-BoxUsage:t2.micro,,05/01/22 12:00:00,05/01/22 13:00:00,1
AmazonEC2,RunInstances,EUC1-DataTransfer-Out-Bytes,,05/01/22 10:00:00,05/01/22 11:00:00,532970
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 12:00:00,05/01/22 13:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 14:00:00,05/01/22 15:00:00,8589934592
